City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Touros,BR,77.25,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
7,Hilo,US,81.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
9,Tarakan,ID,80.1,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
15,Manggar,ID,83.77,broken clouds,-2.8833,108.2667,Guest Hotel
16,Bengkulu,ID,76.78,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
17,Pemba,MZ,75.04,scattered clouds,-12.974,40.5178,Guesthouse Samotina
26,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
28,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
31,Sibolga,ID,76.08,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
32,Coahuayana,MX,81.16,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
33,Avarua,CK,80.38,clear sky,-21.2078,-159.775,Paradise Inn
34,Samana,DO,75.47,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
38,Palau,PW,80.56,broken clouds,7.503,134.621,PALAU SUNRISE SEA VIEW LANDISON RETREAT
43,Darapidap,PH,89.02,overcast clouds,17.2131,120.4114,Candon Beach Resort
45,Atuona,PF,79.09,scattered clouds,-9.8,-139.0333,Villa Enata
48,San Jose,US,76.84,scattered clouds,37.3394,-121.895,The Westin San Jose
50,Tuy Hoa,VN,78.6,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
51,Tomatlan,MX,81.39,broken clouds,19.9333,-105.25,El Salvial
53,Itoman,JP,77.02,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
57,Port Blair,IN,78.84,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
59,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
61,Rikitea,PF,77.52,light rain,-23.1203,-134.9692,People ThankYou
70,Murgab,TM,75.07,broken clouds,37.4966,61.9714,
85,Kidal,ML,88.97,overcast clouds,18.4411,1.4078,
93,Belmonte,BR,76.51,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
101,Vanimo,PG,84.63,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
105,Cabo San Lucas,MX,82.71,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
109,Hobyo,SO,81.9,clear sky,5.3505,48.5268,Iftin hotel hobyo
112,San Patricio,US,91.18,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
113,Salinas,US,76.01,few clouds,36.6777,-121.6555,Laurel Inn & Conference Center
126,Sabang,ID,83.35,overcast clouds,5.8933,95.3214,Hotel Citra
128,Rantauprapat,ID,76.89,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
129,Kavaratti,IN,84.72,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
131,Kudahuvadhoo,MV,83.77,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
133,Nishihara,JP,76.28,overcast clouds,26.1842,127.7558,Minshuku Agaihama
138,Taoudenni,ML,88.11,clear sky,22.6783,-3.9836,
139,Siocon,PH,83.23,broken clouds,7.7061,122.1353,ABS Hotel
140,Butaritari,KI,82.04,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
141,Pontian Kecil,MY,77.32,moderate rain,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
142,Jilib,SO,75.02,light rain,0.4883,42.7854,Waadi Hotel
149,Salalah,OM,82.49,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
150,Balabac,PH,84.65,scattered clouds,7.9868,117.0645,Batalla’s Lodging House
151,Venustiano Carranza,MX,80.58,thunderstorm,19.43,-99.0992,We Hotel Aeropuerto
153,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
168,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
174,Cortez,US,79.56,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
175,Concepcion Del Oro,MX,82.71,few clouds,24.6333,-101.4167,Hotel Hacienda San Javier
176,Lorengau,PG,85.59,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
177,Coruripe,BR,76.89,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
183,Taganak,PH,84.34,broken clouds,6.0833,118.3,Taganak
184,Bubaque,GW,78.01,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
186,Guasdualito,VE,78.8,scattered clouds,7.2424,-70.7324,Hotel Cuibas
198,Dinguiraye,GN,83.39,broken clouds,11.3,-10.7167,
205,Vaitape,PF,81.64,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
207,Manado,ID,84.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
209,Riyadh,SA,80.74,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
210,Tessalit,ML,86.88,overcast clouds,20.1986,1.0114,
214,Samarai,PG,83.82,few clouds,-10.6167,150.6667,Nuli Sapi
216,Akyab,MM,81.28,few clouds,20.15,92.9,Hotel Memory
219,Gizo,SB,84.9,overcast clouds,-8.103,156.8419,Imagination Island
220,Dong Hoi,VN,76.66,overcast clouds,17.4833,106.6,Nam Long Hotel
221,Victoria,HK,78.33,light rain,22.2855,114.1577,Mini Hotel Central
222,Berbera,SO,85.73,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
223,Malayal,PH,85.8,broken clouds,7.208,121.942,
228,Zaraza,VE,78.33,overcast clouds,9.3503,-65.3245,Hotel Zaraza
230,Laguna,US,78.46,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
232,Kavieng,PG,85.14,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
233,Adrar,MR,83.32,clear sky,20.5022,-10.0711,
239,Lhokseumawe,ID,78.48,light rain,5.1801,97.1507,OYO 3278 Penginapan Alfajri
243,Dokri,PK,89.94,clear sky,27.3743,68.0967,Metlo House
244,Faanui,PF,81.75,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
247,Bima,ID,81.54,broken clouds,-8.4667,118.7167,Lambitu Hotel
248,Saint George,US,92.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
252,Pochutla,MX,84.02,clear sky,15.7432,-96.4661,Hotel Posada San Jose
253,Harper,LR,81.46,overcast clouds,4.375,-7.7169,Screensaver
259,Bowen,AU,78.8,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
260,Kaohsiung,TW,82.35,broken clouds,22.6163,120.3133,御宿商旅-中山館
264,Rosa Zarate,EC,75.79,light rain,0.3333,-79.4667,Piscinas y Recepciones Hecalash
269,Barra Patuca,HN,80.55,broken clouds,15.8,-84.2833,
270,Kulhudhuffushi,MV,83.66,broken clouds,6.6221,73.07,Haajy Guest House 1
273,Natal,BR,77.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
280,Hithadhoo,MV,82.8,broken clouds,-0.6,73.0833,Scoop Guest House
283,Brokopondo,SR,75.6,broken clouds,4.75,-55.1667,Matu Island
284,Penuelas,PR,79.92,broken clouds,18.0564,-66.7216,Cabanaselrucio.org
285,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
286,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
287,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
289,La Palma,US,86.67,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
299,Kattivakkam,IN,83.07,scattered clouds,13.2167,80.3167,Euronova Freezer
300,Araouane,ML,90.86,scattered clouds,18.9048,-3.5265,
303,Bennettsville,US,75.7,scattered clouds,34.6174,-79.6848,Quality Inn
305,Lompoc,US,77.68,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
308,Vao,NC,75.38,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
319,Takoradi,GH,77.38,overcast clouds,4.8845,-1.7554,Raybow International Hotel
323,Duku,NG,85.59,overcast clouds,11.2361,4.9073,
327,Acajutla,SV,82.47,broken clouds,13.5928,-89.8275,Laureles
338,Ishigaki,JP,80.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
339,Baton Rouge,US,84.06,clear sky,30.4508,-91.1545,Hilton Baton Rouge Capitol Center
340,Kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
341,Sarankhola,BD,78.84,few clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
345,Kahului,US,82.42,clear sky,20.8947,-156.47,Maui Seaside Hotel
347,Monrovia,LR,81.25,overcast clouds,6.3005,-10.7969,Sunset Inn
350,Edd,ER,83.07,clear sky,13.9297,41.6925,
351,High Rock,BS,80.62,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
353,Mogadishu,SO,81.39,light rain,2.0371,45.3438,Hotel Juba
355,The Valley,AI,79.11,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
357,Lazaro Cardenas,MX,80.8,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
361,Buala,SB,84.36,light rain,-8.145,159.5921,Maringe Lagoon Lodge
378,Oeiras,BR,78.64,few clouds,-7.0253,-42.1311,Hotel SESC Oeiras
379,Srivardhan,IN,79.56,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
381,West Wendover,US,79.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
385,San Ignacio,BZ,77.16,overcast clouds,17.1561,-89.0714,Rainforest Haven Inn
387,Dhanaura,IN,81.86,clear sky,28.9667,78.25,Ritik Aherwal dhanaura
388,Jieshi,CN,75.94,overcast clouds,22.8134,115.8257,Yuehai Hotel
390,Awbari,LY,75.13,overcast clouds,26.5921,12.7805,فندق أوباري
391,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
393,Basco,PH,83.26,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
400,Santa Rosa,PH,88.11,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
402,Sindi,IN,86.88,broken clouds,20.8,78.8667,Vaibhav Kudmati
404,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
410,Calderitas,MX,84.31,scattered clouds,18.55,-88.25,Hotel Hacienda Campestre
411,Biak,ID,80.69,broken clouds,-0.9131,122.8766,Penginapan Kim
418,Tual,ID,85.17,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
419,Palimbang,PH,84.13,scattered clouds,6.2106,124.1894,Felmar Beach resort
423,Odweyne,SO,78.76,overcast clouds,9.4092,45.064,Eng Hiirey House
424,Regeneracao,BR,79.86,scattered clouds,-6.2378,-42.6883,Hotel KANAYRA
432,Birnin Kebbi,NG,88.59,overcast clouds,12.4539,4.1975,Saffar Guest Inn Ltd
434,Labuhan,ID,80.22,broken clouds,-6.8844,112.2051,DoubleFAG
438,Sabha,LY,80.13,overcast clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
