WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,60.8,76,99,9.37,overcast clouds
1,Camacha,PT,33.0833,-16.3333,60.22,82,20,18.41,few clouds
2,Mount Gambier,AU,-37.8333,140.7667,54.97,86,78,9.4,light rain
3,New Norfolk,AU,-42.7826,147.0587,51.3,76,100,5.01,light rain
4,Pevek,RU,69.7008,170.3133,30.15,90,100,0.6,overcast clouds
5,Touros,BR,-5.1989,-35.4608,77.25,90,70,11.27,broken clouds
6,Airai,TL,-8.9266,125.4092,67.75,75,41,3.98,scattered clouds
7,Hilo,US,19.7297,-155.09,81.28,84,100,8.05,overcast clouds
8,Olafsvik,IS,64.8945,-23.7142,38.12,94,99,18.61,overcast clouds
9,Tarakan,ID,3.3,117.6333,80.1,89,75,4.61,broken clouds
10,Barrow,US,71.2906,-156.7887,21.22,86,100,18.41,overcast clouds
11,Port Elizabeth,ZA,-33.918,25.5701,61.32,87,0,11.5,clear sky
12,Muros,ES,42.7762,-9.0603,58.15,74,43,8.57,scattered clouds
13,Bethel,US,41.3712,-73.414,53.91,89,100,4.61,moderate rain
14,Tazovskiy,RU,67.4667,78.7,9.41,98,91,10.07,overcast clouds
15,Manggar,ID,-2.8833,108.2667,83.77,76,81,6.33,broken clouds
16,Bengkulu,ID,-3.8004,102.2655,76.78,86,98,5.82,overcast clouds
17,Pemba,MZ,-12.974,40.5178,75.04,87,32,11.27,scattered clouds
18,Kodiak,US,57.79,-152.4072,45.91,76,100,12.66,overcast clouds
19,Okhotsk,RU,59.3833,143.3,33.82,77,100,11.36,overcast clouds
20,Bronnoysund,NO,65.4625,12.1997,41.0,81,75,18.41,broken clouds
21,Viedma,AR,-40.8135,-62.9967,58.48,60,80,8.5,broken clouds
22,Ushuaia,AR,-54.8,-68.3,44.26,65,75,8.05,broken clouds
23,Mataura,NZ,-46.1927,168.8643,60.48,70,96,3.36,overcast clouds
24,Olavarria,AR,-36.8927,-60.3225,62.02,72,3,1.36,clear sky
25,Himare,AL,40.1017,19.7447,62.1,73,71,5.84,broken clouds
26,Vaini,TO,-21.2,-175.2,80.76,74,40,8.05,scattered clouds
27,Albany,US,42.6001,-73.9662,56.44,70,100,3.51,overcast clouds
28,Kapaa,US,22.0752,-159.319,82.38,82,75,17.27,light rain
29,Chuy,UY,-33.6971,-53.4616,57.76,84,0,2.44,clear sky
30,Norman Wells,CA,65.282,-126.8329,42.84,56,100,3.44,overcast clouds
31,Sibolga,ID,1.7427,98.7792,76.08,97,100,3.74,moderate rain
32,Coahuayana,MX,18.7333,-103.6833,81.16,60,68,5.97,broken clouds
33,Avarua,CK,-21.2078,-159.775,80.38,75,4,10.2,clear sky
34,Samana,DO,19.2056,-69.3369,75.47,89,26,7.23,scattered clouds
35,Chicama,PE,-7.8447,-79.1469,63.14,79,28,6.26,scattered clouds
36,Anadyr,RU,64.75,177.4833,34.3,80,75,11.18,light snow
37,San Cristobal,VE,7.7669,-72.225,66.38,99,93,2.98,overcast clouds
38,Palau,PW,7.503,134.621,80.56,83,75,11.5,broken clouds
39,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,86,100,8.05,light snow
40,Upernavik,GL,72.7868,-56.1549,8.01,87,3,6.22,clear sky
