City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vaini,TO,2022-04-27 06:03:08,-21.2,-175.2,77.05,62,21,18.66
1,Evensk,RU,2022-04-27 06:03:09,61.95,159.2333,31.33,88,98,1.32
2,Barrow,US,2022-04-27 06:01:02,71.2906,-156.7887,10.42,85,100,13.8
3,Kahului,US,2022-04-27 06:03:09,20.8947,-156.47,75.85,87,53,11.01
4,Tuktoyaktuk,CA,2022-04-27 06:03:10,69.4541,-133.0374,9.46,99,96,6.24
5,Port Elizabeth,ZA,2022-04-27 06:03:10,-33.918,25.5701,58.08,79,21,4.36
6,Avarua,CK,2022-04-27 06:03:10,-21.2078,-159.775,82.45,83,75,4.61
7,Chambersburg,US,2022-04-27 05:59:00,39.9376,-77.6611,39.78,86,52,11.97
8,Itoman,JP,2022-04-27 06:03:11,26.1247,127.6694,84.4,83,75,13.8
9,Rikitea,PF,2022-04-27 06:03:12,-23.1203,-134.9692,77.86,74,100,24.16
10,Torbay,CA,2022-04-27 06:03:12,47.6666,-52.7314,36.75,96,100,8.05
11,Iqaluit,CA,2022-04-27 06:03:13,63.7506,-68.5145,-16.49,96,38,4.0
12,Georgetown,MY,2022-04-27 05:59:58,5.4112,100.3354,91.33,70,20,9.22
13,Hilo,US,2022-04-27 06:03:13,19.7297,-155.09,76.28,99,55,6.04
14,Ushuaia,AR,2022-04-27 06:03:14,-54.8,-68.3,32.81,96,95,4.76
15,Puerto Narino,CO,2022-04-27 06:03:14,-3.7703,-70.3831,73.38,98,100,2.15
16,San Borja,BO,2022-04-27 06:03:14,-14.8167,-66.85,75.56,89,94,2.55
17,Yaring,TH,2022-04-27 06:03:15,6.8662,101.3689,87.66,66,99,6.51
18,Qui Nhon,VN,2022-04-27 05:59:05,13.7667,109.2333,84.96,76,9,10.38
19,Taltal,CL,2022-04-27 06:01:22,-25.4,-70.4833,62.74,78,98,0.87
20,Punta Arenas,CL,2022-04-27 06:03:16,-53.15,-70.9167,37.74,72,65,14.67
21,Butaritari,KI,2022-04-27 06:03:16,3.0707,172.7902,81.48,81,78,18.34
22,Alamosa,US,2022-04-27 06:03:16,37.4695,-105.87,44.58,33,0,11.5
23,Sechura,PE,2022-04-27 06:03:17,-5.5569,-80.8222,67.69,85,17,9.73
24,Seddon,AU,2022-04-27 06:03:17,-37.8068,144.8916,70.81,56,0,11.5
25,Walvis Bay,NA,2022-04-27 06:03:18,-22.9575,14.5053,59.09,59,4,6.85
26,Port Alfred,ZA,2022-04-27 06:03:18,-33.5906,26.891,57.18,86,48,3.0
27,Dikson,RU,2022-04-27 06:03:19,73.5069,80.5464,21.72,83,96,18.92
28,Tuatapere,NZ,2022-04-27 06:03:19,-46.1333,167.6833,50.49,87,61,2.8
29,Busselton,AU,2022-04-27 06:03:19,-33.65,115.3333,64.94,54,51,15.99
30,Albany,US,2022-04-27 06:00:01,42.6001,-73.9662,45.18,86,100,7.87
31,Xiamen,CN,2022-04-27 06:01:55,24.4798,118.0819,79.86,75,12,13.4
32,Kapaa,US,2022-04-27 06:03:20,22.0752,-159.319,78.78,93,69,10.33
33,Mataura,NZ,2022-04-27 06:03:21,-46.1927,168.8643,53.47,97,47,1.99
34,Bilibino,RU,2022-04-27 06:03:21,68.0546,166.4372,32.11,82,100,3.24
35,Touros,BR,2022-04-27 06:03:21,-5.1989,-35.4608,74.68,88,36,10.51
36,Jamestown,US,2022-04-27 06:03:22,42.097,-79.2353,36.99,70,100,6.91
